Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,V093 Dos de Mayo - VIV,CAJAS,202501,129808,2511906,19.350860215053764,150315.13195273923,2478795,16.710929414543383,143157,2344371,16.376189516129035,22.0,24.0,21.5,22.5
Export,P227 San Isidro - PVH,ELECTRO,202501,129494,238494,1.841733870967742,194050.1512518778,274324,1.2290309925625071,184810,277791,1.5031182795698927,2.5,2.5,1.5,2.0
Export,P107 Mercaderes - PVS,FRESCOS,202505,129378,768109,5.936922043010753,94007.42366236013,819909,8.170727481680206,89531,770010,8.600497311827956,10.0,10.0,10.0,8.0
Export,V093 Dos de Mayo - VIV,CAJAS,202502,129251,2559403,19.801822916666673,118876.17511984873,2344554,21.529989397956804,113215,2306323,20.37110632183908,22.0,24.0,23.5,22.5
Export,V290 Asia - VIV,ABARROTES,202501,129250,2882940,22.30511424731183,155838.65734892376,2596126,18.499515775120415,148418,2499549,16.841303763440862,23.0,18.0,18.0,25.0
Export,P064 Miraflores - PVH,ELECTRO,202503,129102,257856,1.997305107526882,114660.56000186015,254842,2.2488623812391704,109201,220932,2.0231787634408605,2.0,2.5,2.0,2.0
Export,P333 Ves Placita - PVH,,202503,128455,7573634,58.95947580645164,114921.40252296932,7200893,65.90273242171979,109449,6977562,63.74657258064516,,,,
Export,P066 Ate - PVH,ALMACÉN FRESCOS,202503,128423,611922,4.76489247311828,173819.52621512057,576611,3.520441824485706,165542,593626,3.5859475806451617,5.0,5.0,4.0,5.5
Export,P122 Ica - PVH,ALMACÉN FRESCOS,202506,128417,856052,6.6661874999999995,125253.97485610012,868931,6.834527854173791,119289,864380,7.246069444444445,8.0,8.0,7.5,7.0
Export,P064 Miraflores - PVH,FRESCOS,202504,128323,3290730,25.53847916666667,123674.0639770583,3276603,26.608085350946624,117785,3006866,25.528465277777777,37.5,40.0,32.5,32.0
Export,P259 Moquegua - PVH,ALMACÉN FRESCOS,202506,128297,651327,5.0290625,205368.6549893316,601540,3.1715000521079264,195589,574833,2.938979166666667,5.5,6.0,5.5,5.0
Export,P135 Colonial - PVH,ELECTRO,202503,128164,374403,2.92127688172043,140824.91268939743,408671,2.658641094461608,134119,341040,2.542815860215054,3.0,3.0,2.5,3.0
Export,P048 Higuereta - PVH,FRESCOS,202504,127908,2555244,19.904305555555556,106383.8629975847,2618601,24.019092257046665,101318,2442348,24.051076388888887,25.0,27.0,26.5,21.5
Export,SO04 Jaen - PVO,,202505,127882,6935084,53.93151881720432,126213.86713109346,6606230,54.9470820254386,120204,6096466,50.67331989247314,,,,
Export,SO05 Tarapoto - PVO,,202503,127747,12014278,90.84678091397839,120362.81754982281,11190755,99.81718436448888,114631,11125226,94.66596774193555,,,,
Export,P037 Jockey Plaza - PVH,ELECTRO,202506,127600,420526,3.290826388888889,168328.59551076498,623659,2.49824659157871,160313,624210,3.8202500000000006,3.0,4.0,4.0,3.5
Export,1199 San Miguel - PVH,FRESCOS,202506,127233,1382771,10.84163888888889,94279.3005349798,1499652,14.666753382275676,89790,1397599,15.565229166666668,12.5,16.5,16.5,12.0
Export,P048 Higuereta - PVH,ELECTRO,202503,127136,501573,3.9451680107526883,138983.5610020381,568657,3.6088624898065804,132365,482854,3.646868279569893,3.0,3.5,4.0,4.0
Export,P159 Acho - PVH,ALMACÉN FRESCOS,202505,127058,273714,2.1542405913978495,86482.32768589824,289577,3.1649711255936936,82364,276220,3.3536491935483874,2.5,3.5,3.5,2.0
Export,V290 Asia - VIV,ALMACÉN FRESCOS,202506,127024,134351,1.0576805555555557,230221.30115140692,180180,0.5835731938272861,219258,173103,0.7894930555555556,1.0,1.0,1.0,1.0
Export,1593 Aventura SJL - PVH,,202503,126906,7302910,57.545739247311815,87374.70345191691,6251125,83.5815160622417,83214,5991172,71.99716397849461,,,,
Export,SO04 Jaen - PVO,ALMACÉN FRESCOS,202502,126666,596317,4.42921875,135330.62617714368,525713,4.406369768949708,128886,558864,4.131005747126437,4.5,4.5,5.0,4.5
Export,P120 Universitaria - PVH,ELECTRO,202501,126422,422233,3.3398655913978494,138888.3715641705,393107,3.040092379547526,132275,373673,2.8249798387096776,3.5,3.5,3.5,3.5
Export,P465 Sucre - PVH,,202503,126391,10566933,83.29684811827948,123712.96027798795,10494519,85.41492715278721,117822,10971037,93.11533602150543,,,,
Export,P010 Caminos del Inca - PVS,ELECTRO,202505,126282,112986,0.8947110215053764,206300.71532307693,98703,0.5476778877041599,196477,90118,0.4586693548387097,2.0,2.0,0.5,1.0
Export,P133 Guardia Civil - PVH,ALMACÉN FRESCOS,202503,126206,649257,5.144435483870968,259062.30464877596,1365222,2.506181402501731,246726,1379692,5.592002688172043,7.0,6.5,7.5,6.5
Export,P123 El Chacarero - PVH,ALMACÉN FRESCOS,202503,126116,1019878,8.086834677419356,182353.12404074028,863301,5.592871059188132,173670,903220,5.2007930107526885,4.0,5.0,6.0,5.0
