Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P159 Acho - PVH,INVENTARIOS,202602,786800,1576878,2.0041666666666664,866465.7550304355,1513594,1.7468591998155003,811300,1593528,1.9641666666666668,2.0,2.0,2.0,2.0
Export,P106 Valle Hermoso - PVH,ALMACÉN,202602,784854,4332911,5.507447916666666,921725.4376721812,5765982,6.2556392361938,684703,4250187,6.159531250000001,7.5,7.5,8.0,5.5
Export,P221 Barranca - PVH,ALMACÉN,202605,784150,2572217,3.280262096774195,827312.3931198163,2220280,2.68372618597827,634652,2351603,3.705342741935484,3.0,3.0,4.0,3.5
Export,P104 Arequipa - PVH,ALMACÉN,202601,783124,4519076,5.771095430107527,896834.5052737856,4416861,4.924944919187316,699600,4581348,6.548528225806453,5.5,6.0,8.0,6.5
Export,P107 Mercaderes - PVS,ALMACÉN FRESCOS,202601,782855,676564,0.8642271505376344,0,,2.292005987292278,247394,766780,3.0994287634408604,3.0,4.0,3.5,1.5
Export,P125 SJ Lurigancho - PVH,ALMACÉN,202602,782414,5190365,6.631562499999999,761476.7761871909,4507555,5.9194906567865235,663708,4990893,7.44265625,6.5,7.0,8.0,8.5
Export,P052 Brasil - PVH,ALMACÉN,202603,780573,3778208,4.84030241935484,694031.3971467849,3637125,5.240577599446501,668816,3841298,5.743434139784947,6.0,6.0,6.0,5.5
Export,P259 Moquegua - PVH,ALMACÉN,202605,778779,5672866,7.149314516129026,780581.4657275676,4817720,6.171962522078948,764122,5076125,6.455571236559141,7.0,7.5,7.5,8.0
Export,P010 Caminos del Inca - PVS,ALMACÉN FRESCOS,202601,775717,4760467,6.12725806451613,384688.6734217545,2727337,7.089724467686307,461188,4619757,9.96639112903226,8.5,8.5,12.0,8.0
Export,P724 Tumbes - PVH,ALMACÉN,202604,775246,6136124,6.850569444444446,965107.9849547744,5956610,6.171962522078948,950587,6641144,5.804652777777778,7.0,7.5,7.5,7.5
Export,V093 Dos de Mayo - VIV,ALMACÉN,202604,773454,1481605,1.915569444444447,561392.8975290136,1428874,2.545229831886417,513087,1430384,2.787798611111111,3.0,3.0,3.5,2.5
Export,P516 Ilo - PVH,ALMACÉN,202604,770058,4630451,5.940715277777786,699323.5022593735,4007899,5.731108056216166,711796,4397087,5.9189375,6.5,7.0,6.5,6.5
Export,P224 Brena - PVH,ALMACÉN,202602,769520,4937233,6.415989583333333,765724.9858702229,4961512,6.479496365345052,821218,4935346,6.009791666666667,7.5,7.0,7.0,7.5
Export,P215 Magdalena - PVS,INVENTARIOS,202602,769510,770071,1.0007291666666667,1000419.6047294114,873609,0.8732429847136887,727082,726931,0.9997916666666667,1.0,1.0,1.0,1.0
Export,P236 Pisco - PVH,ALMACÉN,202605,768700,4486614,5.836626344086025,784699.8915457851,4151261,5.290253590353384,718369,4233357,5.891243279569894,6.0,6.5,6.5,6.5
Export,P238 Grifo Mexico - PVH,INVENTARIOS,202605,767833,2905029,1.8109677419354837,717636.5106199764,1253610,1.7468591998155003,639765,1214875,1.8989381720430107,2.0,2.0,2.0,2.0
Export,P080 Bolichera - PVH,ALMACÉN,202603,767153,6475813,8.439233870967742,869955.0880856103,5517526,6.34231141798556,1187908,7511535,6.323333333333335,7.5,8.0,8.5,8.5
Export,P130 Chimbote - PVH,ALMACÉN,202604,764249,5038458,6.5226875,707383.5789089311,4677798,6.61281698794173,809901,5257683,6.479034722222223,7.5,8.5,7.5,7.5
Export,SO03 Huanuco - PVO,ALMACÉN,202605,763741,8031254,10.000168010752692,961516.4389095411,6782221,7.053671453804512,1007814,7275718,7.0332594086021505,7.0,6.0,7.5,10.5
Export,P172 Puno - PVH,ALMACÉN,202605,762318,6678899,7.768259408602154,978089.1366408691,5605535,5.731108056216166,695543,5605275,7.425880376344088,7.0,7.0,8.0,8.5
Export,P220 Trujillo Valcarcel - PVS,INVENTARIOS,202603,759529,754343,0.9931720430107528,,679318,,253461,606767,2.3939247311827963,,2.0,1.0,1.0
Export,P236 Pisco - PVH,ALMACÉN,202602,758285,4618313,6.090468749999999,729892.0975056827,3861314,5.290253590353384,738251,4282948,5.800104166666666,6.0,6.5,6.5,7.0
Export,P202 LurIn - PVH,ALMACÉN,202604,757069,5264816,6.954208333333317,630437.3904820224,4629572,7.343429214057726,611317,4859380,7.949034722222223,8.5,8.5,9.0,8.0
