Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P226 Paita - PVH,ELECTRO,202511,376860,920614,2.4428541666666668,152471.33148830262,428873,6.037951141461818,145211,354531,2.441493055555556,2.5,2.5,2.5,2.5
Export,P224 Brena - PVH,ABARROTES,202509,376814,4103322,10.889520833333336,370124.4672106515,4875714,11.086329339218336,352499,4447765,12.617791666666669,13.0,12.0,13.5,13.0
Export,P221 Barranca - PVH,ELECTRO,202508,376502,662208,1.7588440860215055,223435.48790489504,499701,2.9637528765433516,212796,565866,2.6592002688172043,2.5,2.5,2.5,2.5
Export,P110 Corpac - PVS,ALMACÉN,202509,376355,1214444,3.2268541666666675,400793.7624362019,1474816,3.0300973314007456,381708,1305159,3.4192569444444447,4.0,3.5,3.5,3.5
Export,P147 Juliaca - PVH,ELECTRO,202508,375954,1301443,3.461706989247312,423292.2846505729,1161906,3.0745731665634755,403136,1267330,3.1159879032258067,2.5,2.5,4.0,4.0
Export,SO02 Pucallpa - PVO,ABARROTES,202508,375873,6278643,16.054838709677412,476219.9932088187,6397695,13.184332786395352,453543,6706759,13.233481182795702,17.0,14.5,16.0,18.5
Export,P226 Paita - PVH,ABARROTES,202512,375765,5217685,12.925302419354841,386584.51370739465,5047449,13.49688105703391,368176,4379998,10.918729838709679,14.5,14.5,11.5,13.0
Export,P114 Pro - PVH,ABARROTES,202509,375414,4454685,11.866069444444443,464827.7606251651,5329432,9.583517051582115,442693,4645674,10.494118055555555,14.5,12.5,12.5,14.5
Export,P144 Huacho - PVH,ELECTRO,202507,375192,1115966,2.9743884408602153,450420.5628162329,1185424,2.4776081558587784,428972,1275485,2.973353494623656,2.5,2.5,3.0,3.0
Export,P333 Ves Placita - PVH,ALMACÉN FRESCOS,202508,375017,691105,1.8428629032258064,244784.1732484875,723732,2.8233253434176846,233128,699719,3.0014381720430108,3.5,3.5,3.5,2.0
Export,P465 Sucre - PVH,ABARROTES,202510,374911,4901550,13.048461021505377,446816.1550026079,6679622,10.969946979583565,425539,5918927,13.799455645161292,15.5,14.5,15.0,14.5
Export,P465 Sucre - PVH,ELECTRO,202508,374897,731039,1.9470161290322578,293456.79044609296,797390,2.491128792381069,279483,790466,2.828319892473118,3.5,3.5,2.5,3.0
Export,SO03 Huanuco - PVO,CAJAS,202507,374854,8486407,22.63921370967741,409160.108130691,8303121,20.741042568327142,389676,8213999,21.07903225806451,24.5,24.5,26.0,26.5
Export,P114 Pro - PVH,ABARROTES,202507,374401,5123779,13.685282258064515,531855.2347270759,5545977,9.633785841422226,506529,5372977,10.607446236559142,15.0,11.5,11.0,14.5
Export,P105 Salamanca - PVS,ALMACÉN,202508,374089,1884299,5.037036290322582,450923.67501581536,2071591,4.178753909813921,429451,1979983,4.610497311827958,6.5,7.0,5.0,5.5
Export,P126 Santa Clara - PVH,ALMACÉN FRESCOS,202508,374000,967992,2.588212365591398,365137.343715551,1059483,2.651036320059568,347750,1026932,2.9530779569892474,2.0,3.0,3.0,3.0
Export,P238 Grifo Mexico - PVH,ALMACÉN,202509,373802,1922665,2.9181250000000007,269651.1471592765,1244763,7.130194179609137,256811,1783107,4.910354166666668,4.0,6.0,6.0,3.5
Export,P104 Arequipa - PVH,CAJAS,202512,373617,7190524,19.245719086021502,344000.50842957775,7541232,20.90265381532717,327620,7128732,21.759180107526884,22.5,24.0,24.0,21.5
Export,V093 Dos de Mayo - VIV,ABARROTES,202508,373466,1475882,3.95184811827957,325052.34227778524,1469331,4.540443178036637,309574,1399050,4.519280913978495,7.0,7.0,5.0,3.5
Export,P238 Grifo Mexico - PVH,ALMACÉN,202510,373421,2276520,3.066686827956989,308253.5123938645,1233728,7.385219432929686,293575,1504552,4.094388440860215,4.0,6.0,6.5,3.0
Export,P158 Villa el Salvador - PVS,ALMACÉN FRESCOS,202510,372941,365324,0.979576612903226,120642.72322708678,408815,3.0281487372623994,114898,400375,3.484616935483871,3.0,3.0,4.0,2.0
Export,P089 Risso - PVH,ALMACÉN FRESCOS,202512,372828,1112249,2.9832795698924737,342377.29572280205,1239753,3.2486068553462353,326074,1206803,3.7010147849462367,5.0,5.0,4.5,4.0
Export,P724 Tumbes - PVH,ABARROTES,202512,372673,7537643,16.890369623655907,440079.28862556204,6210388,17.127919865398034,419123,7655529,15.451135752688176,17.5,16.5,17.5,17.5
Export,P115 Huancayo - PVH,CAJAS,202511,372581,10140775,27.21765277777778,296301.26703965483,9589075,34.22454139773499,282192,9554852,33.8594375,35.5,46.5,45.5,33.0
Export,P119 Puente Piedra - PVH,ABARROTES,202509,372321,5276750,14.172569444444445,474308.1071098502,5961086,11.125152007528092,451722,5464776,12.09765277777778,16.5,13.5,13.5,15.5
Export,P291 La Curva - PVH,ELECTRO,202509,372104,1064411,2.860520833333334,313112.01921602694,804547,3.3994568546588617,298202,850925,2.853520833333334,2.5,2.5,4.0,3.5
Export,1199 San Miguel - PVH,ABARROTES,202509,372058,3324936,8.929034722222221,311629.3844925608,3731640,10.66952022324253,296790,3585636,12.056041666666665,14.0,13.0,14.0,6.5
Export,P134 Centro Civico - PVH,ELECTRO,202509,371816,1218468,3.2770694444444444,300296.1240327433,914548,4.057553502978754,285996,993549,3.473993055555556,4.0,4.0,4.0,3.5
Export,P106 Valle Hermoso - PVH,ALMACÉN FRESCOS,202508,371798,2811089,7.543817204301076,464778.64122377866,2737363,6.048232858976268,442646,2617691,5.913729838709679,9.0,8.5,6.5,8.5
Export,P769 Chiclayo Aventura - PVH,CAJAS,202511,371476,5423842,14.60078472222222,314179.35076053377,4527624,17.263520778404146,299218,4641680,15.512680555555557,20.0,24.5,23.0,16.5
Export,P238 Grifo Mexico - PVH,ALMACÉN,202508,371411,2051457,3.353225806451613,315221.58260701515,1373934,6.507985154549332,300211,1315415,4.381633064516129,4.0,6.0,4.5,3.5
Export,P333 Ves Placita - PVH,CAJAS,202512,371263,9721681,26.185409946236533,368320.22899396316,9364148,26.394642391904412,350781,9140942,26.05881720430108,28.0,30.0,30.0,29.5
Export,P126 Santa Clara - PVH,CAJAS,202512,371200,14566919,39.24276209677418,328805.24194199947,12772044,44.30257578609277,313148,13813857,44.11288978494623,46.5,49.0,51.0,45.5
Export,P516 Ilo - PVH,CAJAS,202511,371144,5238906,14.115548611111109,255551.35873073686,4460583,20.500404795421197,243382,4548755,18.689756944444444,17.5,22.5,23.5,17.5
Export,SO05 Tarapoto - PVO,CAJAS,202508,370898,11152884,30.069939516129022,372808.1880979049,11645266,29.91587799319227,355055,11528008,32.46819220430106,34.5,35.5,36.0,33.5
Export,P259 Moquegua - PVH,CAJAS,202512,370895,7930297,21.381518817204284,365169.62278545264,7479000,21.716748752289483,347781,7542765,21.688286290322583,22.0,24.0,24.5,22.5
Export,V095 Monterrico - VIV,ABARROTES,202512,370781,3535698,9.522446236559135,327441.64076258766,4039809,10.797947847334315,311849,3772870,12.098380376344085,11.0,13.5,13.5,10.5
Export,P134 Centro Civico - PVH,ABARROTES,202512,370647,4674391,12.588004032258059,430294.7368421052,5000797,10.86323052497676,409805,4773811,11.637500000000001,11.0,11.5,11.0,12.0
Export,P229 Salaverry - PVH,ALMACÉN FRESCOS,202512,370626,2778148,7.495833333333334,359230.64132605685,2697138,7.733606019087902,342124,2686681,7.85293682795699,9.0,9.0,8.5,8.0
Export,P119 Puente Piedra - PVH,ABARROTES,202508,370601,5888387,15.88872983870968,559209.6158581474,6163434,10.529838566820505,532581,5846872,10.978380376344086,16.5,13.5,11.0,16.5
Export,P224 Brena - PVH,ABARROTES,202510,370174,4272738,11.542520161290321,406285.43293269817,4990525,10.516591129438268,386939,4455633,11.515094086021508,13.0,12.0,12.5,12.5
Export,P180 Centro Trujillo - PVE,ABARROTES,202511,369915,534065,1.44375,0,547666,Infinity,,450191,,,,,
Export,P115 Huancayo - PVH,ELECTRO,202508,369186,3071547,8.319791666666667,383791.5141961577,2516838,8.003164286821928,365516,2720931,7.444086021505377,8.5,8.5,9.0,9.0
Export,P132 El Ejercito - PVS,ABARROTES,202508,369039,2304648,6.245006720430108,294158.02974344644,2545496,7.834727925020531,280151,2547432,9.093084677419355,7.5,8.5,9.5,7.0
Export,P089 Risso - PVH,ABARROTES,202507,368926,3017081,8.178004032258066,365932.76954242133,3490595,8.244906171624622,348507,3302051,9.47483870967742,10.5,8.5,8.5,9.0
Export,P130 Chimbote - PVH,CAJAS,202508,368318,5149318,13.980618279569896,305188.45361873024,5636708,16.872583084132685,290656,5583089,19.208602150537644,23.0,24.5,24.0,19.0
Export,P115 Huancayo - PVH,ELECTRO,202509,368214,2882824,7.824152777777778,360921.68942161236,2231349,7.987393344577904,343735,2698859,7.851569444444446,8.5,8.5,9.0,9.0
Export,P037 Jockey Plaza - PVH,ABARROTES,202511,368148,3471098,9.427541666666668,293155.28032485937,3824266,11.840475723833151,279196,3452541,12.36603472222222,13.0,13.5,13.5,10.0
Export,P192 Sullana - PVH,ELECTRO,202512,368110,1417603,3.853904569892473,282615.5876642086,1263088,5.016012073914104,269158,1037118,3.853198924731183,3.5,3.5,4.0,4.0
Export,SO03 Huanuco - PVO,ABARROTES,202508,367900,6111366,15.530873655913975,367183.66448202025,5939625,16.643893073569053,349699,5670886,16.016592741935483,13.0,11.5,17.5,16.5
Export,P146 Tacna - PVH,CAJAS,202512,367862,14792539,40.21217741935486,359979.77248229965,12877891,41.09269500893235,342838,14740768,42.99632392473121,39.5,45.0,46.0,42.0
Export,P231 Ventanilla - PVH,ELECTRO,202512,367798,2369507,6.448420698924722,285287.2209104465,2001097,8.305690217872758,271702,1748688,6.436048387096774,5.0,5.0,6.5,6.5
Export,P203 Rimac Alcazar - PVH,ABARROTES,202511,367777,3553437,9.661944444444444,440002.4149229521,3519128,8.075949380010186,419050,3390769,8.0915625,9.5,10.0,9.0,11.0
Export,P146 Tacna - PVH,ALMACÉN FRESCOS,202512,367421,1736574,4.693104838709673,267258.72198917164,1504768,6.49772762166527,254532,1665090,6.481868279569893,6.0,6.0,7.0,5.5
Export,P225 Cajamarca - PVH,ELECTRO,202511,366895,1197061,3.262680555555556,270403.11829066323,802087,4.426949391586707,257527,922200,3.580986111111111,3.5,3.5,4.5,4.0
